name,family,mechanism,counterparty,why_they_trade,why_opportunity_exists,why_it_persists,what_kills_it,half_life,capacity,liquidity,execution_difficulty,venue_risk,data_quality,classification,stats,in_sample,out_of_sample,cost_sensitivity,regime_dependence,component_scores,confidence,notes,gates,score_mechanism,score_oos_significance,score_regime_robust,score_param_stability,score_cost_resilience,score_capacity,score_sample_size,score_decay,score_implementation,score_counterparty_risk,AQS,recommendation,verdict
L1_new_perp_listing_short,listings,New listings draw attention-driven buying while early holders and market makers sell into new liquidity; shorting only becomes possible once the perp exists.,Attention-driven retail buyers and listing momentum chasers.,Salience of new listings; FOMO; exchange promotion.,Short supply is scarce at launch; unlock/airdrop holders need exit liquidity.,"Shorting new listings is dangerous (thin books, squeezes, funding spikes).","Pre-listing price discovery elsewhere (DEX, other CEX perps), tighter listing standards.",weeks,low-medium (thin early books),thin in first days,"high (day-1 volatility, funding spikes)",exchange + delisting risk,medium: listing dates from first kline; no announcement timestamps,BEHAVIORAL,"{'n': 589, 'win_OOS': 0.6642512077294686, 'mae_med_OOS': -0.217922831632653, 'mfe_med_OOS': 0.286604384718941, 'breakeven_rt_bp': 191.81401088645453, 'median_rt_cost_bp': 120.0}","{'n': 175.0, 'net_mean': 0.0107417612272706, 'median': 0.0798181884387698, 't': 0.4794530305729364, 'p_bh': 0.8590927925933837}","{'n': 414.0, 'net_mean': 0.0056764179382604, 'median': 0.1297005949611266, 't': 0.1674805920096379, 'ci': '[-0.0622, 0.0696]', 'p_bh': 0.8681158066968715}",break-even round trip 192 bp vs median modelled 120 bp (ratio 1.60),"{'bear': (0.0255, 206), 'bull': (-0.0027, 383)} | years positive share 0.50","{'mechanism': 3, 'oos_significance': 1, 'regime_robust': 2, 'param_stability': 2, 'cost_resilience': 3, 'capacity': 1, 'sample_size': 5, 'decay': 4, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: WATCH**,"{'OOS BH p=0.87 (>=0.10)': 'PAPER TRADE', 'positive event mean but OOS portfolio Sharpe -0.02': 'WATCH'}",3,1,2,2,3,1,5,4,3,3,50.6,WATCH,WATCH
F1_extreme_pos_funding_short,funding,Leverage demand exceeds arbitrage capital; funding prices the imbalance and crowded payers become marginal sellers (or buyers) when momentum stalls.,Levered directional traders (mostly retail / trend followers) paying funding to hold exposure.,Access to leverage and convexity matters more to them than carry cost.,"Delta-neutral capital is balance-sheet, venue and collateral constrained; the short-perp leg can be squeezed before funding accrues.","Carry trades are unpleasant (squeeze risk, exchange risk, capital lock-up across venues).","Cheap institutional basis capital, lower leverage caps, funding caps, fee changes.",days to weeks,high for majors; limited by alt-perp liquidity; median event ADV $19m,perp-dependent,"medium (daily rebalance, perp margin management)",single-exchange perp exposure (Binance); funding-cap rule changes,good: exchange-native funding prints 2019-> (all perps incl. delisted),PERSISTENT RISK PREMIUM,"{'n': 998, 'win_OOS': 0.5786963434022258, 'mae_med_OOS': -0.1308687615526802, 'mfe_med_OOS': 0.1384439359267734, 'breakeven_rt_bp': 105.91051648030974, 'median_rt_cost_bp': 104.27571488491444}","{'n': 348.0, 'net_mean': -0.01098759228488, 'median': 0.0110223060974621, 't': -1.124728363809682, 'p_bh': 0.5458428719631166}","{'n': 629.0, 'net_mean': 0.0068157787559271, 'median': 0.0290385066399851, 't': 0.4941385635045129, 'ci': '[-0.0253, 0.0290]', 'p_bh': 0.7569003471939032}",break-even round trip 106 bp vs median modelled 104 bp (ratio 1.02),"{'bear': (-0.0332, 206), 'bull': (0.009, 792)} | years positive share 0.38","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 2, 'param_stability': 1, 'cost_resilience': 2, 'capacity': 2, 'sample_size': 5, 'decay': 3, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.76 (>=0.10)': 'PAPER TRADE', 'top-5 events = 87% of OOS P&L': 'WATCH', 'positive event mean but OOS portfolio Sharpe -0.36': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",4,0,2,1,2,2,5,3,4,3,49.2,REJECT,REJECT AS TRADE
X4_funding_despite_reversal_OI,interaction,Crowding (funding + OI) combined with fuel (liquidations / extension) creates asymmetric reversal or continuation risk.,"The crowded, levered side.",Late momentum / trapped positions.,Requires combining several data sources few monitor jointly.,Rare events; hard to size; painful to hold against crowded momentum.,Wider multi-factor monitoring; lower leverage.,days,low-medium (rare events); median event ADV $79m,perp,medium-high,exchange,medium (inherits CoinGlass limitations),FORCED FLOW,"{'n': 85, 'win_OOS': 0.5116279069767442, 'mae_med_OOS': -0.0540564219379708, 'mfe_med_OOS': 0.1300157701068862, 'breakeven_rt_bp': 61.694352617408896, 'median_rt_cost_bp': 79.4484735918204}","{'n': 41.0, 'net_mean': 0.0139882192936119, 'median': 0.0348990671776767, 't': 0.8960395161089453, 'p_bh': 0.6249239719312758}","{'n': 43.0, 'net_mean': -0.017101372773078, 'median': 0.0023410346767175, 't': -0.4487981489033487, 'ci': '[-0.1002, 0.0425]', 'p_bh': 0.7569003471939032}",break-even round trip 62 bp vs median modelled 79 bp (ratio 0.78),"{'bear': (-0.0025, 52), 'bull': (-0.001, 33)} | years positive share 0.67","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 3, 'cost_resilience': 1, 'capacity': 3, 'sample_size': 3, 'decay': 1, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.76 (>=0.10)': 'PAPER TRADE', 'verdict: REJECT AS TRADE': 'REJECT'}",4,0,0,3,1,3,3,1,3,3,42.2,REJECT,REJECT AS TRADE
O4_price_down_OI_down,oi_price,Price/OI quadrants separate new-leverage-driven moves from covering/capitulation.,Late levered momentum traders or capitulating longs.,Momentum chasing; margin pressure.,Crowding is observable but slow to resolve.,Signal is noisy and regime-dependent.,Wider use of OI dashboards.,days,medium; median event ADV $151m,perp,medium,exchange,medium: aggregated OI across venues (spliced),BEHAVIORAL,"{'n': 3367, 'win_OOS': 0.383893280632411, 'mae_med_OOS': -0.0852454490037749, 'mfe_med_OOS': 0.0606855925806103, 'breakeven_rt_bp': 53.91027459280434, 'median_rt_cost_bp': 71.71682994991181}","{'n': 1331.0, 'net_mean': 0.0033654095958636, 'median': -0.008892752523492, 't': 0.5077208506678119, 'p_bh': 0.8590927925933837}","{'n': 2024.0, 'net_mean': -0.0053011517424307, 'median': -0.0183542131346581, 't': -0.7505810149554046, 'ci': '[-0.0173, 0.0098]', 'p_bh': 0.6589339415934602}",break-even round trip 54 bp vs median modelled 72 bp (ratio 0.75),"{'bear': (0.0007, 1458), 'bull': (-0.0039, 1909)} | years positive share 0.17","{'mechanism': 2, 'oos_significance': 0, 'regime_robust': 2, 'param_stability': 1, 'cost_resilience': 1, 'capacity': 4, 'sample_size': 5, 'decay': 1, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.66 (>=0.10)': 'PAPER TRADE', 'excess over price-only control +0.23% [-0.25%, +0.69%] not above 0': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",2,0,2,1,1,4,5,1,4,3,40.4,REJECT,REJECT AS TRADE
F4_high_funding_ann_100pct_short,funding,Leverage demand exceeds arbitrage capital; funding prices the imbalance and crowded payers become marginal sellers (or buyers) when momentum stalls.,Levered directional traders (mostly retail / trend followers) paying funding to hold exposure.,Access to leverage and convexity matters more to them than carry cost.,"Delta-neutral capital is balance-sheet, venue and collateral constrained; the short-perp leg can be squeezed before funding accrues.","Carry trades are unpleasant (squeeze risk, exchange risk, capital lock-up across venues).","Cheap institutional basis capital, lower leverage caps, funding caps, fee changes.",days to weeks,high for majors; limited by alt-perp liquidity; median event ADV $41m,perp-dependent,"medium (daily rebalance, perp margin management)",single-exchange perp exposure (Binance); funding-cap rule changes,good: exchange-native funding prints 2019-> (all perps incl. delisted),LIKELY NOISE,"{'n': 1058, 'win_OOS': 0.5850340136054422, 'mae_med_OOS': -0.1455364754597491, 'mfe_med_OOS': 0.1756695100733407, 'breakeven_rt_bp': -320.3691467588508, 'median_rt_cost_bp': 76.77740536871099}","{'n': 755.0, 'net_mean': -0.0369405267134037, 'median': 0.0124762228634773, 't': -4.075134263587311, 'p_bh': 0.025664694923097}","{'n': 294.0, 'net_mean': -0.0487250964689047, 'median': 0.0412064797346239, 't': -1.291668686385714, 'ci': '[-0.1345, 0.0216]', 'p_bh': 0.4355080987818097}",break-even round trip -320 bp vs median modelled 77 bp (ratio -4.17),"{'bear': (-0.0241, 112), 'bull': (-0.0421, 946)} | years positive share 0.17","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 3, 'sample_size': 5, 'decay': 0, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.44 (>=0.10)': 'PAPER TRADE', 'verdict: REJECT AS TRADE': 'REJECT'}",4,0,0,1,0,3,5,0,4,3,39.0,REJECT,REJECT AS TRADE
Q3_short_liq_squeeze_OI_reset_short,liquidation,Margin engines liquidate regardless of price: flushes overshoot when fuel is exhausted (OI reset) and cascade when leverage keeps rebuilding.,Liquidated leveraged traders and the insurance fund / ADL counterparties.,"Forced: margin calls, not choice.",Liquidity providers widen during cascades; risk capital is scarce exactly when needed.,Catching liquidation flushes is psychologically and operationally hard (gap risk).,"Lower leverage, better liquidation engines (partial liquidations), more market-making capital.",hours to days,medium (flush depth is large for majors); median event ADV $154m,stressed at entry,high (enters during volatility),exchange outages during cascades,"medium: CoinGlass aggregated daily, venue coverage spliced; pre-2021 zeros excluded",LIKELY NOISE,"{'n': 248, 'win_OOS': 0.3486842105263157, 'mae_med_OOS': -0.1263826379250959, 'mfe_med_OOS': 0.0491699116623815, 'breakeven_rt_bp': -218.3936015046291, 'median_rt_cost_bp': 71.77946729978024}","{'n': 96.0, 'net_mean': -0.0150961427012282, 'median': -0.0020669578769753, 't': -1.104445438865325, 'p_bh': 0.5458428719631166}","{'n': 152.0, 'net_mean': -0.0377880952376309, 'median': -0.0206443865399476, 't': -1.9271783589130136, 'ci': '[-0.0660, -0.0013]', 'p_bh': 0.2200986870484394}",break-even round trip -218 bp vs median modelled 72 bp (ratio -3.04),"{'bear': (-0.0338, 162), 'bull': (-0.0199, 86)} | years positive share 0.17","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 4, 'sample_size': 4, 'decay': 0, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.22 (>=0.10)': 'PAPER TRADE', 'excess over price-only control -3.96% [-7.79%, +1.04%] not above 0': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",4,0,0,1,0,4,4,0,3,3,38.4,REJECT,REJECT AS TRADE
Q2_long_liq_OI_rebuild_short,liquidation,Margin engines liquidate regardless of price: flushes overshoot when fuel is exhausted (OI reset) and cascade when leverage keeps rebuilding.,Liquidated leveraged traders and the insurance fund / ADL counterparties.,"Forced: margin calls, not choice.",Liquidity providers widen during cascades; risk capital is scarce exactly when needed.,Catching liquidation flushes is psychologically and operationally hard (gap risk).,"Lower leverage, better liquidation engines (partial liquidations), more market-making capital.",hours to days,medium (flush depth is large for majors); median event ADV $96m,stressed at entry,high (enters during volatility),exchange outages during cascades,"medium: CoinGlass aggregated daily, venue coverage spliced; pre-2021 zeros excluded",LIKELY NOISE,"{'n': 567, 'win_OOS': 0.4676470588235294, 'mae_med_OOS': -0.0977436883686587, 'mfe_med_OOS': 0.0816588934010823, 'breakeven_rt_bp': -308.33280493021914, 'median_rt_cost_bp': 73.37706153030386}","{'n': 225.0, 'net_mean': -0.0230751529287791, 'median': 0.00258885153629, 't': -2.0722567526403166, 'p_bh': 0.3518510228468735}","{'n': 340.0, 'net_mean': -0.0483371559162448, 'median': -0.0091236892739302, 't': -2.574780529181328, 'ci': '[-0.0886, -0.0119]', 'p_bh': 0.1268476037529253}",break-even round trip -308 bp vs median modelled 73 bp (ratio -4.20),"{'bear': (-0.0288, 221), 'bull': (-0.0443, 346)} | years positive share 0.17","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 3, 'sample_size': 5, 'decay': 0, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.13 (>=0.10)': 'PAPER TRADE', 'excess over price-only control -3.11% [-8.33%, +1.72%] not above 0': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",4,0,0,1,0,3,5,0,3,3,38.0,REJECT,REJECT AS TRADE
F3_funding_despite_reversal_short,funding,Leverage demand exceeds arbitrage capital; funding prices the imbalance and crowded payers become marginal sellers (or buyers) when momentum stalls.,Levered directional traders (mostly retail / trend followers) paying funding to hold exposure.,Access to leverage and convexity matters more to them than carry cost.,"Delta-neutral capital is balance-sheet, venue and collateral constrained; the short-perp leg can be squeezed before funding accrues.","Carry trades are unpleasant (squeeze risk, exchange risk, capital lock-up across venues).","Cheap institutional basis capital, lower leverage caps, funding caps, fee changes.",days to weeks,high for majors; limited by alt-perp liquidity; median event ADV $20m,perp-dependent,"medium (daily rebalance, perp margin management)",single-exchange perp exposure (Binance); funding-cap rule changes,good: exchange-native funding prints 2019-> (all perps incl. delisted),LIKELY NOISE,"{'n': 3021, 'win_OOS': 0.5184544405997693, 'mae_med_OOS': -0.0934862923599324, 'mfe_med_OOS': 0.1149682583910053, 'breakeven_rt_bp': -11.358341058582951, 'median_rt_cost_bp': 103.1622979815442}","{'n': 1273.0, 'net_mean': -0.0107742795223531, 'median': -0.0031702546817103, 't': -1.2599855522627676, 'p_bh': 0.5220148451095059}","{'n': 1734.0, 'net_mean': -0.0117385255012415, 'median': 0.0050445610996976, 't': -1.3617286714625003, 'ci': '[-0.0288, 0.0068]', 'p_bh': 0.4204267015015097}",break-even round trip -11 bp vs median modelled 103 bp (ratio -0.11),"{'bear': (-0.0193, 1385), 'bull': (-0.0046, 1636)} | years positive share 0.12","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 2, 'sample_size': 5, 'decay': 0, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.42 (>=0.10)': 'PAPER TRADE', 'excess over price-only control -0.33% [-2.79%, +1.81%] not above 0': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",4,0,0,1,0,2,5,0,4,3,37.0,REJECT,REJECT AS TRADE
F1c_delta_neutral_carry,funding,Delta-neutral: short perp / long spot to collect extreme funding minus premium change and four legs of costs.,Levered directional traders (mostly retail / trend followers) paying funding to hold exposure.,Access to leverage and convexity matters more to them than carry cost.,"Delta-neutral capital is balance-sheet, venue and collateral constrained; the short-perp leg can be squeezed before funding accrues.","Carry trades are unpleasant (squeeze risk, exchange risk, capital lock-up across venues).","Cheap institutional basis capital, lower leverage caps, funding caps, fee changes.",days to weeks,high for majors; limited by alt-perp liquidity,perp-dependent,"high (two legs, spot inventory, perp margin, squeeze risk)",single-exchange perp exposure (Binance); funding-cap rule changes,good: exchange-native funding prints 2019-> (all perps incl. delisted),LIKELY NOISE,"{'n': 977, 'win_OOS': 0.1478537360890302, 'mae_med_OOS': nan, 'mfe_med_OOS': nan, 'breakeven_rt_bp': nan, 'median_rt_cost_bp': 20}","{'n': 348.0, 'net_mean': -0.0035212207183908, 'median': nan, 't': -1.236385960608664, 'p_bh': 0.5220148451095059}","{'n': 629.0, 'net_mean': -0.0076970632591414, 'median': nan, 't': -7.619685369113054, 'ci': '[-0.0096, -0.0058]', 'p_bh': 3.893512932847909e-07}",n/a,nan | years positive share n/a,"{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 2, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 1, 'sample_size': 5, 'decay': 0, 'implementation': 2, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,{'verdict: REJECT AS TRADE': 'REJECT'},4,0,2,1,0,1,5,0,2,3,37.0,REJECT,REJECT AS TRADE
U2_control_price_down_1sd_long,control,Price/OI quadrants separate new-leverage-driven moves from covering/capitulation.,Late levered momentum traders or capitulating longs.,Momentum chasing; margin pressure.,Crowding is observable but slow to resolve.,Signal is noisy and regime-dependent.,Wider use of OI dashboards.,days,medium; median event ADV $136m,perp,medium,exchange,medium: aggregated OI across venues (spliced),"CONTROL (price-only baseline, not a strategy)","{'n': 6247, 'win_OOS': 0.376544833026558, 'mae_med_OOS': -0.0730427046263344, 'mfe_med_OOS': 0.0575320035724917, 'breakeven_rt_bp': 42.57531651220411, 'median_rt_cost_bp': 71.97823112692248}","{'n': 2425.0, 'net_mean': 0.0041229408629026, 'median': -0.0071121784473363, 't': 0.7707842505522389, 'p_bh': nan}","{'n': 3803.0, 'net_mean': -0.0075804413004707, 'median': -0.0183210055506334, 't': -1.5966011365531327, 'ci': '[-0.0155, 0.0017]', 'p_bh': nan}",break-even round trip 43 bp vs median modelled 72 bp (ratio 0.59),"{'bear': (-0.0001, 2982), 'bull': (-0.0058, 3265)} | years positive share 0.33","{'mechanism': 2, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 1, 'capacity': 4, 'sample_size': 5, 'decay': 1, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: CONTROL**,"{'control signal (baseline only)': 'REJECT', 'verdict: CONTROL': 'REJECT'}",2,0,0,1,1,4,5,1,4,3,36.4,REJECT,CONTROL
O2_price_up_OI_down,oi_price,Price/OI quadrants separate new-leverage-driven moves from covering/capitulation.,Late levered momentum traders or capitulating longs.,Momentum chasing; margin pressure.,Crowding is observable but slow to resolve.,Signal is noisy and regime-dependent.,Wider use of OI dashboards.,days,medium; median event ADV $64m,perp,medium,exchange,medium: aggregated OI across venues (spliced),BEHAVIORAL,"{'n': 86, 'win_OOS': 0.3461538461538461, 'mae_med_OOS': -0.0486768202432019, 'mfe_med_OOS': 0.0440023579738551, 'breakeven_rt_bp': 58.41640431743651, 'median_rt_cost_bp': 74.05763918389712}","{'n': 34.0, 'net_mean': 0.0036211621303547, 'median': -0.0205439793210765, 't': 0.144850373066583, 'p_bh': 0.9270645317694168}","{'n': 52.0, 'net_mean': -0.0056082317786001, 'median': -0.0195080845612571, 't': -0.5322862722929741, 'ci': '[-0.0251, 0.0137]', 'p_bh': 0.7569003471939032}",break-even round trip 58 bp vs median modelled 74 bp (ratio 0.79),"{'bear': (-0.0113, 38), 'bull': (0.0055, 48)} | years positive share 0.33","{'mechanism': 2, 'oos_significance': 0, 'regime_robust': 2, 'param_stability': 1, 'cost_resilience': 1, 'capacity': 3, 'sample_size': 3, 'decay': 1, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.76 (>=0.10)': 'PAPER TRADE', 'excess over price-only control -0.71% [-2.35%, +0.94%] not above 0': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",2,0,2,1,1,3,3,1,4,3,35.2,REJECT,REJECT AS TRADE
X1_crowded_long_reversal,interaction,Crowding (funding + OI) combined with fuel (liquidations / extension) creates asymmetric reversal or continuation risk.,"The crowded, levered side.",Late momentum / trapped positions.,Requires combining several data sources few monitor jointly.,Rare events; hard to size; painful to hold against crowded momentum.,Wider multi-factor monitoring; lower leverage.,days,low-medium (rare events); median event ADV $115m,perp,medium-high,exchange,medium (inherits CoinGlass limitations),LIKELY NOISE,"{'n': 46, 'win_OOS': 0.2857142857142857, 'mae_med_OOS': -0.2160055833430267, 'mfe_med_OOS': 0.1123813665946971, 'breakeven_rt_bp': -1676.342197195352, 'median_rt_cost_bp': 72.28048237480581}","{'n': 25.0, 'net_mean': -0.075183872230312, 'median': -0.025168135046737, 't': -1.4287196078644155, 'p_bh': 0.5079260215726445}","{'n': 21.0, 'net_mean': -0.2941475051148022, 'median': -0.0675731769736842, 't': -2.014010522798268, 'ci': '[-0.6492, -0.0633]', 'p_bh': 0.2200986870484394}",break-even round trip -1676 bp vs median modelled 72 bp (ratio -23.19),"{'bear': (-0.359, 11), 'bull': (-0.1174, 35)} | years positive share 0.17","{'mechanism': 4, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 4, 'sample_size': 2, 'decay': 0, 'implementation': 3, 'counterparty_risk': 3}",LOW,**Research verdict: INSUFFICIENT EVIDENCE**,"{'OOS BH p=0.22 (>=0.10)': 'PAPER TRADE', 'too few events for a price-only control test': 'WATCH', 'verdict: INSUFFICIENT EVIDENCE': 'WATCH'}",4,0,0,1,0,4,2,0,3,3,35.2,REJECT,INSUFFICIENT EVIDENCE
P1_premium_z_high_short,basis,Perp premium vs index is a real-time imbalance gauge; extremes mean-revert as arbitrage closes it.,Aggressive perp takers paying up (or dumping) relative to spot index.,Speed and leverage preference; perp is the default retail instrument.,Spot-perp arbitrage needs spot inventory/borrow and two-venue capital.,Capital friction and short-horizon squeeze risk.,"More arbitrage capital, index methodology changes.",hours to days,medium; median event ADV $26m,perp + spot needed for pure basis,medium,exchange + index methodology,good: Binance premiumIndexKlines 2020->,LIKELY NOISE,"{'n': 6767, 'win_OOS': 0.5242974238875878, 'mae_med_OOS': -0.1013979423384671, 'mfe_med_OOS': 0.0967982243640213, 'breakeven_rt_bp': -72.6728400776608, 'median_rt_cost_bp': 90.32609498044268}","{'n': 3320.0, 'net_mean': -0.0226064186432055, 'median': 9.490548159545076e-05, 't': -4.030684920382655, 'p_bh': 0.0047607470822283}","{'n': 3416.0, 'net_mean': -0.0112187868070847, 'median': 0.0071172205745918, 't': -1.3678405072934856, 'ci': '[-0.0230, 0.0052]', 'p_bh': 0.4204267015015097}",break-even round trip -73 bp vs median modelled 90 bp (ratio -0.80),"{'bear': (-0.0196, 1267), 'bull': (-0.0162, 5500)} | years positive share 0.14","{'mechanism': 3, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 2, 'sample_size': 5, 'decay': 0, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.42 (>=0.10)': 'PAPER TRADE', 'verdict: REJECT AS TRADE': 'REJECT'}",3,0,0,1,0,2,5,0,4,3,33.0,REJECT,REJECT AS TRADE
P2_premium_z_low_long,basis,Perp premium vs index is a real-time imbalance gauge; extremes mean-revert as arbitrage closes it.,Aggressive perp takers paying up (or dumping) relative to spot index.,Speed and leverage preference; perp is the default retail instrument.,Spot-perp arbitrage needs spot inventory/borrow and two-venue capital.,Capital friction and short-horizon squeeze risk.,"More arbitrage capital, index methodology changes.",hours to days,medium; median event ADV $20m,perp + spot needed for pure basis,medium,exchange + index methodology,good: Binance premiumIndexKlines 2020->,LIKELY NOISE,"{'n': 10643, 'win_OOS': 0.4040982371553412, 'mae_med_OOS': -0.0901246404602109, 'mfe_med_OOS': 0.0765162200282087, 'breakeven_rt_bp': 31.786375346805443, 'median_rt_cost_bp': 108.20551865637336}","{'n': 3975.0, 'net_mean': -0.0111819236205582, 'median': -0.0191329194805036, 't': -1.9184045570981287, 'p_bh': 0.353150516905353}","{'n': 6637.0, 'net_mean': -0.0048558136340635, 'median': -0.0189416267746089, 't': -0.90357876274844, 'ci': '[-0.0154, 0.0054]', 'p_bh': 0.6407868202185923}",break-even round trip 32 bp vs median modelled 108 bp (ratio 0.29),"{'bear': (-0.0019, 5842), 'bull': (-0.0137, 4801)} | years positive share 0.29","{'mechanism': 3, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 2, 'sample_size': 5, 'decay': 0, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.64 (>=0.10)': 'PAPER TRADE', 'verdict: REJECT AS TRADE': 'REJECT'}",3,0,0,1,0,2,5,0,4,3,33.0,REJECT,REJECT AS TRADE
O3_price_down_OI_up,oi_price,Price/OI quadrants separate new-leverage-driven moves from covering/capitulation.,Late levered momentum traders or capitulating longs.,Momentum chasing; margin pressure.,Crowding is observable but slow to resolve.,Signal is noisy and regime-dependent.,Wider use of OI dashboards.,days,medium; median event ADV $80m,perp,medium,exchange,medium: aggregated OI across venues (spliced),LIKELY NOISE,"{'n': 177, 'win_OOS': 0.3269230769230769, 'mae_med_OOS': -0.055847182631715, 'mfe_med_OOS': 0.046767300844841, 'breakeven_rt_bp': -44.98192652458704, 'median_rt_cost_bp': 74.05316286796679}","{'n': 73.0, 'net_mean': -0.0017540452261338, 'median': -0.0075203351322766, 't': -0.1489727170523019, 'p_bh': 0.9270645317694168}","{'n': 104.0, 'net_mean': -0.0192340288765204, 'median': -0.0217030322072503, 't': -2.5440460609892592, 'ci': '[-0.0338, -0.0037]', 'p_bh': 0.1268476037529253}",break-even round trip -45 bp vs median modelled 74 bp (ratio -0.61),"{'bear': (-0.0059, 105), 'bull': (-0.021, 72)} | years positive share 0.33","{'mechanism': 2, 'oos_significance': 0, 'regime_robust': 0, 'param_stability': 1, 'cost_resilience': 0, 'capacity': 3, 'sample_size': 4, 'decay': 0, 'implementation': 4, 'counterparty_risk': 3}",LOW,**Research verdict: REJECT AS TRADE**,"{'OOS BH p=0.13 (>=0.10)': 'PAPER TRADE', 'excess over price-only control -1.12% [-3.03%, +0.65%] not above 0': 'WATCH', 'verdict: REJECT AS TRADE': 'REJECT'}",2,0,0,1,0,3,4,0,4,3,29.4,REJECT,REJECT AS TRADE
