date,asset,venue,signal,direction,signal_strength,expected_horizon,expected_edge_net,mechanism_counterparty,historical_n,historical_oos_n,historical_win_rate_oos,current_regime,capacity_usd_1pct_adv,main_risk,aqs,recommended_action
2026-09-14,FILUSDT,Binance USD-M perp,Q4_short_liq_OI_rebuild_long,LONG,"{'long_liq_z': 1.3322, 'short_liq_z': 4.0187, 'oi_chg_z': 1.0755}",5d,0.0196425792172046,Short liquidations >= +2 sd with OI rising: new longs adding into squeeze; expect continuation up,1811,1088,0.4191176470588235,"BTC bull, vol low",688049.240909121,cascade continues (catching a falling knife); data revisions,79.0,IGNORE
2026-09-14,NEARUSDT,Binance USD-M perp,Q4_short_liq_OI_rebuild_long,LONG,"{'long_liq_z': -0.6754, 'short_liq_z': 2.9964, 'oi_chg_z': 1.0474}",5d,0.0196425792172046,Short liquidations >= +2 sd with OI rising: new longs adding into squeeze; expect continuation up,1811,1088,0.4191176470588235,"BTC bull, vol low",1470701.003215,cascade continues (catching a falling knife); data revisions,79.0,IGNORE
2026-09-14,BTCUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.0277, 'oi_chg_z': 1.1585}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",103689276.483732,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,INJUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.2628, 'oi_chg_z': 1.5182}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",418775.08738350007,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,LITUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.1272, 'oi_chg_z': 1.4046}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",806066.3454018501,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,NEARUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.507, 'oi_chg_z': 1.0474}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",1470701.003215,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,OPUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.6907, 'oi_chg_z': 1.3716}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",271702.045145905,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,SOLUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.0113, 'oi_chg_z': 1.0694}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",20197487.631308097,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,UNIUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.0633, 'oi_chg_z': 1.0518}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",1913646.59255,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,XLMUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 2.7125, 'oi_chg_z': 2.3965}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",483003.08788784995,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,XPLUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.3935, 'oi_chg_z': 1.0208}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",387334.892993,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,XRPUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 2.1165, 'oi_chg_z': 2.3201}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",9753820.3842683,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,ZECUSDT,Binance USD-M perp,O1_price_up_OI_up,LONG,"{'ret_z': 1.1851, 'oi_chg_z': 1.5176}",5d,0.0102509435201117,new longs chasing: fragile continuation (measured as LONG; negative mean = short edge),3579,2291,0.4207769532955041,"BTC bull, vol low",13442328.2221315,regime dependence; OI data splicing across venues,66.6,IGNORE
2026-09-14,BTWUSDT,Binance USD-M perp,O4_price_down_OI_down,LONG,"{'ret_z': -2.508, 'oi_chg_z': -1.4106}",5d,-0.0053011517424307,long capitulation: rebound (measured as LONG; negative mean = short edge),3367,2024,0.383893280632411,"BTC bull, vol low",327372.1878963,regime dependence; OI data splicing across venues,40.4,IGNORE
